,Prediction,Actual
1408,small,small
1409,small,small
1410,small,small
1411,small,small
1412,small,small
1413,small,small
1414,small,small
1415,small,small
1416,small,small
1417,small,small
1418,small,small
1419,small,small
1420,small,small
1421,small,small
1422,small,small
1423,small,small
1424,small,small
1425,small,small
1426,small,small
1427,small,small
1428,small,small
1429,small,small
1430,small,big
1431,small,small
1432,small,small
1433,small,small
1434,small,small
1435,small,small
1436,small,small
1437,small,small
1438,small,small
1439,small,small
1440,small,small
1441,small,small
1442,small,small
1443,small,small
1444,small,small
1445,small,small
1446,small,small
1447,small,small
1448,small,small
1449,small,small
1450,small,small
1451,small,small
1452,small,small
1453,small,small
1454,small,small
1455,small,small
1456,small,small
1457,small,small
1458,small,small
1459,small,small
1460,small,small
1461,small,small
1462,small,small
1463,small,small
1464,big,big
1465,small,small
1466,small,small
1467,small,small
1468,small,small
1469,small,small
1470,small,small
1471,small,small
1472,small,small
1473,small,small
1474,small,small
1475,small,small
1476,small,small
1477,small,small
1478,small,small
1479,small,small
1480,small,small
1481,small,small
1482,small,small
1483,small,small
1484,small,small
1485,small,small
1486,small,small
1487,small,small
1488,small,small
1489,small,small
1490,small,small
1491,small,small
1492,small,small
1493,small,small
1494,small,small
1495,small,small
1496,small,small
1497,small,small
1498,small,small
1499,small,small
1500,small,small
1501,small,small
1502,small,small
1503,small,small
1504,small,small
1505,small,small
1506,small,small
1507,small,small
1508,small,small
1509,small,small
1510,small,small
1511,small,small
1512,small,small
1513,small,small
1514,small,small
1515,small,small
1516,small,small
1517,small,small
1518,small,small
1519,small,small
1520,small,small
1521,small,small
1522,small,small
1523,small,small
1524,small,small
1525,small,small
1526,small,small
1527,small,small
1528,small,small
1529,small,small
1530,small,small
1531,small,small
1532,small,small
1533,small,small
1534,small,small
1535,small,small
1536,small,small
1537,small,small
1538,small,small
1539,small,small
1540,small,small
1541,small,small
1542,small,small
1543,small,small
1544,small,small
1545,small,small
1546,small,small
1547,small,small
1548,small,small
1549,small,small
1550,small,small
1551,small,small
1552,small,small
1553,small,small
1554,small,small
1555,small,small
1556,small,small
1557,small,small
1558,small,small
1559,small,small
1560,small,small
1561,small,small
1562,small,small
1563,small,small
1564,small,small
1565,small,small
1566,small,small
1567,small,small
1568,small,small
1569,small,small
1570,small,small
1571,small,small
1572,small,small
1573,small,small
1574,small,small
1575,small,small
1576,small,small
1577,small,small
1578,small,small
1579,small,small
1580,small,small
1581,small,small
1582,small,small
1583,small,small
1584,small,small
1585,small,small
1586,small,small
1587,small,small
1588,small,small
1589,small,small
1590,small,small
1591,small,small
1592,small,small
1593,small,small
1594,small,small
1595,small,small
1596,small,small
1597,small,small
1598,small,small
1599,small,small
1600,big,big
1601,small,small
1602,small,small
1603,small,small
1604,small,small
1605,small,small
1606,small,small
1607,small,small
1608,small,small
1609,small,small
1610,small,small
1611,small,small
1612,small,small
1613,small,small
1614,small,small
1615,small,small
1616,small,small
1617,small,small
1618,small,small
1619,small,small
1620,small,small
1621,small,small
1622,small,small
1623,small,small
1624,small,small
1625,small,small
1626,small,small
1627,small,small
1628,small,small
1629,small,small
1630,small,small
1631,small,small
1632,small,small
1633,small,small
1634,small,small
1635,small,small
1636,small,small
1637,small,small
1638,small,small
1639,small,small
1640,small,small
1641,small,small
1642,small,big
1643,small,small
1644,small,small
1645,small,small
1646,small,small
1647,small,small
1648,small,small
1649,small,small
1650,small,small
1651,small,small
1652,small,small
1653,small,small
1654,small,small
1655,small,small
1656,small,small
1657,small,small
1658,small,small
1659,small,small
1660,small,small
1661,small,small
1662,small,small
1663,small,small
1664,small,small
1665,small,small
1666,small,small
1667,small,small
1668,small,small
1669,small,small
1670,small,small
1671,small,small
1672,small,small
1673,small,small
1674,small,small
1675,small,small
1676,small,small
1677,small,small
1678,small,small
1679,small,small
1680,small,small
1681,small,small
1682,small,big
1683,small,small
1684,small,small
1685,small,small
1686,small,small
1687,small,small
1688,small,small
1689,small,small
1690,small,small
1691,small,small
1692,small,small
1693,small,small
1694,small,small
1695,small,small
1696,small,small
1697,small,small
1698,small,small
1699,small,small
1700,small,small
1701,small,small
1702,small,small
1703,small,small
1704,small,small
1705,small,small
1706,small,small
1707,small,small
1708,small,small
1709,small,small
1710,small,small
1711,small,small
1712,small,small
1713,small,small
1714,small,small
1715,small,small
1716,small,small
1717,small,small
1718,small,small
1719,small,small
1720,small,small
1721,small,small
1722,small,small
1723,small,small
1724,small,small
1725,small,small
1726,small,small
1727,small,small
1728,small,small
1729,small,small
1730,small,small
1731,small,small
1732,small,small
1733,small,small
1734,small,small
1735,small,small
1736,small,small
1737,small,small
1738,small,small
1739,small,small
1740,small,small
1741,small,small
1742,small,small
1743,small,small
1744,small,small
1745,small,small
1746,small,small
1747,small,small
1748,small,small
1749,small,small
1750,small,small
1751,small,small
1752,small,small
1753,small,small
1754,small,small
1755,small,small
1756,small,small
1757,small,small
1758,small,small
1759,small,small
1760,small,small
1761,small,small
1762,small,small
1763,small,small
1764,small,small
1765,small,small
1766,small,small
1767,small,small
1768,small,small
1769,small,small
1770,small,small
1771,small,small
1772,small,small
1773,small,small
1774,small,small
1775,small,small
1776,small,small
1777,small,small
1778,small,small
1779,small,small
1780,small,small
1781,small,small
1782,small,small
1783,small,small
1784,small,small
1785,small,small
1786,small,small
1787,small,small
1788,small,small
1789,small,small
1790,small,small
1791,small,small
1792,small,small
1793,small,small
1794,small,small
1795,small,small
1796,small,small
1797,small,small
1798,small,small
1799,small,small
1800,small,small
1801,small,small
1802,small,small
1803,small,small
1804,small,small
1805,small,big
1806,small,small
1807,small,small
1808,small,small
1809,small,small
1810,small,small
1811,small,small
1812,small,small
1813,small,small
1814,small,small
1815,small,small
1816,small,small
1817,small,small
1818,small,small
1819,small,small
1820,small,small
1821,small,small
1822,small,small
1823,small,small
1824,small,small
1825,small,small
1826,small,small
1827,small,small
1828,small,small
1829,small,small
1830,small,small
1831,small,small
1832,small,small
1833,small,small
1834,small,small
1835,small,small
1836,small,small
1837,small,small
1838,small,small
1839,small,small
1840,small,small
1841,small,small
1842,small,small
1843,small,small
1844,small,small
1845,small,small
1846,small,small
1847,small,small
1848,small,small
1849,small,small
1850,small,small
1851,small,small
1852,small,small
1853,small,small
1854,small,small
1855,small,small
1856,small,small
1857,small,small
1858,small,small
1859,small,small
1860,small,small
1861,small,small
1862,small,small
1863,small,small
1864,small,small
1865,small,small
1866,small,small
1867,small,small
1868,small,small
1869,small,small
1870,small,small
1871,small,small
1872,small,small
1873,small,small
1874,small,small
1875,small,small
1876,small,small
1877,small,small
1878,small,small
1879,small,small
1880,small,small
1881,small,small
1882,small,small
1883,small,small
1884,small,small
1885,small,small
1886,small,small
1887,small,small
1888,small,small
1889,small,small
1890,small,small
1891,small,small
1892,small,small
1893,small,small
1894,small,small
1895,small,small
1896,small,small
1897,small,small
1898,small,small
1899,small,small
1900,small,small
1901,small,small
1902,small,small
1903,small,small
1904,small,small
1905,small,small
1906,small,small
1907,small,small
1908,small,small
1909,small,small
1910,small,small
1911,small,small
1912,small,small
1913,small,small
1914,small,small
1915,small,small
1916,small,small
1917,small,big
1918,small,small
1919,small,small
1920,small,small
1921,small,small
1922,small,small
1923,small,small
1924,small,small
1925,small,small
1926,small,small
1927,small,small
1928,small,small
1929,small,small
1930,small,small
1931,small,small
1932,small,small
1933,small,small
1934,small,small
1935,small,small
1936,small,small
1937,small,small
1938,small,small
1939,small,big
1940,small,small
1941,small,small
1942,small,small
1943,small,small
1944,small,small
1945,small,small
1946,small,small
1947,small,small
1948,small,small
1949,small,small
1950,small,small
1951,small,small
1952,small,small
1953,small,small
1954,small,small
1955,small,small
1956,small,small
1957,small,small
1958,small,small
1959,small,small
1960,small,small
1961,small,small
1962,small,small
1963,small,small
1964,small,small
1965,small,small
1966,small,small
1967,small,small
1968,small,small
1969,small,small
1970,small,small
1971,small,small
1972,small,small
1973,small,small
1974,small,small
1975,small,small
1976,small,small
1977,small,small
1978,small,small
1979,small,small
1980,small,small
1981,small,small
1982,small,small
1983,small,small
1984,small,small
1985,small,small
1986,small,small
1987,small,small
1988,small,small
1989,small,small
1990,small,small
1991,small,small
1992,small,small
1993,small,small
1994,small,small
1995,small,small
1996,small,small
1997,small,small
1998,small,small
1999,small,small
2000,small,small
2001,small,small
2002,small,small
2003,small,small
2004,small,small
2005,small,small
2006,small,small
2007,small,small
2008,small,small
2009,small,small
2010,small,small
2011,small,small
2012,small,small
2013,small,small
2014,small,small
2015,small,small
2016,small,small
2017,small,small
2018,small,small
2019,small,small
2020,small,small
2021,small,small
2022,small,small
2023,small,small
2024,small,small
2025,small,small
2026,small,small
2027,small,small
2028,small,small
2029,small,small
2030,small,small
2031,small,small
2032,small,small
2033,small,small
2034,small,small
2035,small,small
2036,small,small
2037,small,small
2038,small,small
2039,small,small
2040,small,small
2041,small,small
2042,small,small
2043,small,small
2044,small,small
2045,small,small
2046,small,small
2047,small,small
2048,small,small
2049,small,small
2050,small,small
2051,small,small
2052,small,small
2053,small,small
2054,small,small
2055,small,small
2056,small,small
2057,small,small
2058,small,small
2059,small,small
2060,small,small
2061,small,small
2062,small,small
2063,small,small
2064,small,big
2065,small,small
2066,small,small
2067,small,small
2068,small,small
2069,small,small
2070,small,small
2071,small,small
2072,small,small
2073,small,small
2074,small,small
2075,small,small
2076,small,small
2077,small,small
2078,small,small
2079,small,small
2080,small,small
2081,small,small
2082,small,small
2083,small,small
2084,small,small
2085,small,small
2086,small,small
2087,small,small
2088,small,small
2089,small,small
2090,small,small
2091,small,small
2092,small,small
2093,small,small
2094,small,small
2095,small,small
2096,small,small
2097,small,small
2098,small,small
2099,small,small
2100,small,small
2101,small,small
2102,small,small
2103,small,small
2104,small,small
2105,small,small
2106,small,small
2107,small,small
2108,small,small
2109,small,small
2110,small,small
2111,small,small
2112,small,small
2113,small,small
2114,small,small
2115,small,small
2116,small,small
2117,small,small
2118,small,small
2119,small,small
2120,small,small
2121,small,small
2122,small,small
2123,small,small
2124,small,small
2125,small,small
2126,small,small
2127,small,small
2128,small,small
2129,small,small
2130,small,small
2131,small,small
2132,small,small
2133,small,small
2134,small,small
2135,small,small
2136,small,small
